Date,Close,High,Low,Open,Volume
2020/7/16,324.7436523,327.9229608,321.1101569,326.1062131,68220512
2020/7/17,333.3731995,335.1899471,327.0145826,327.9229564,65727485
2020/7/20,332.4647827,336.0982776,329.2854747,336.0982776,42769238
2020/7/21,347.907135,351.5406299,337.4608372,338.3692109,64219128
2020/7/22,348.8155518,350.6322994,344.2736826,346.0904303,43759670
2020/7/23,346.5446167,347.9071774,344.2736821,346.9988036,45209282
2020/7/24,350.6322937,358.8076581,346.9987984,354.265789,86682734
2020/7/27,385.6047058,385.6047058,378.3377149,381.9712103,99333798
2020/7/28,395.1426392,423.7564165,389.2382089,421.4854818,166307746
2020/7/29,383.3337708,391.9633225,381.0628361,388.7840139,85663166
2020/7/30,394.2342529,400.5928699,389.2381967,396.5051876,69293949
2020/7/31,386.513031,392.4174604,386.513031,386.9672179,49897674
2020/8/3,377.8835449,385.1505362,376.975171,381.9712275,76429571
2020/8/4,386.513031,386.513031,380.1544147,382.879536,41223445
2020/8/5,389.6924133,393.780096,386.9672916,391.0549742,47223834
2020/8/6,395.1426392,397.8677608,391.5091436,397.4135739,41029627
2020/8/7,393.3258362,394.2342099,388.7839674,393.7800231,36589460
2020/8/10,395.5967407,397.4134881,388.3297512,388.3297512,36067500
2020/8/11,389.6924133,395.1426569,389.6924133,392.4175351,34545313
2020/8/12,380.6086121,384.6962941,380.6086121,383.3337334,52143474
2020/8/13,389.6924133,389.6924133,385.6047307,388.7840394,44352335
2020/8/14,387.8755798,388.7839536,384.2420849,385.1504587,23419955
2020/8/17,395.1426392,395.1426392,386.5130873,387.8756481,34137731
2020/8/18,393.3258362,400.1386393,392.4174624,399.6844525,41643160
2020/8/19,388.329834,396.5051989,388.329834,396.051012,31486800
2020/8/20,376.9751282,388.3298007,364.2578949,387.8756138,75097235
2020/8/21,385.6047058,387.8756405,381.5170234,382.8795842,41609467
2020/8/24,388.7840576,394.6884884,386.0589357,388.3298706,48375406
2020/8/25,394.688446,396.0510068,391.0549506,393.7800722,35977899
2020/8/26,401.5011902,401.5011902,395.1425741,395.5967609,39243340
2020/8/27,403.3179932,411.9475448,403.3179932,406.9514886,53072712
2020/8/28,395.1426392,400.1386955,391.5091436,399.6845086,56842210
2020/8/31,387.4214783,399.2303393,387.4214783,396.9594045,81480538
2020/9/1,395.1426392,395.1426392,388.784022,390.6007697,37429577
2020/9/2,393.3258362,400.5928262,391.0549018,400.5928262,34871407
2020/9/3,396.0510254,399.2303341,393.7800906,399.2303341,34951617
2020/9/4,389.6924133,392.8717221,387.8756655,387.8756655,46119911
2020/9/7,386.9672852,392.8717156,386.0589112,388.784033,32019312
2020/9/8,391.5091553,393.3259031,388.3298466,388.7840335,23714670
2020/9/9,387.8755798,388.7839536,384.2420849,386.0588324,40551362
2020/9/10,395.1426392,395.1426392,391.0549567,392.8717045,35098921
2020/9/11,396.5052185,396.5052185,392.8717228,395.5968446,34298469
2020/9/14,400.5928955,401.5012694,395.596839,396.0510259,39085833
2020/9/15,404.2263489,406.0430965,399.2302929,400.1386667,39061449
2020/9/16,416.0352173,419.6687126,413.7642827,417.851965,64261238
2020/9/17,409.6416931,415.5785292,407.8149743,413.7518104,42058506
2020/9/18,405.5315857,410.5550625,404.6182263,408.271664,52454922
2020/9/21,401.8781738,411.0117687,401.8781738,405.074932,39463920
2020/9/22,399.1380615,402.7914992,398.2247021,401.8781397,36130639
2020/9/23,395.9413452,400.5081427,394.571306,398.224744,45710963
2020/9/24,386.3510742,391.8312313,386.3510742,388.634473,79806381
2020/9/25,387.2643738,390.9178113,384.5242957,390.0044519,38775269
2020/9/28,394.1145935,394.1145935,387.7210775,390.0044761,34156973
2020/9/29,393.657959,397.3113971,390.9178804,395.0279983,32230502
2020/9/30,395.4846497,397.3113686,393.201251,393.201251,27334204
2020/10/5,395.0279541,400.051431,394.1145947,400.051431,32945832
2020/10/6,401.4214478,403.7048462,399.594729,403.2481665,35775395
2020/10/7,404.6182251,406.4449439,397.3113497,397.3113497,42926239
2020/10/8,413.7518921,414.6652517,409.641774,411.0118133,60853811
2020/10/12,420.1453247,421.9720435,417.8619262,418.3186059,64719223
2020/10/13,421.9720764,424.7121548,416.9485993,424.7121548,45750738
2020/10/14,419.2320251,421.0587442,417.4053061,420.6020644,40809241
2020/10/15,413.7518921,416.9486506,411.0118133,416.4919708,47775028
2020/10/16,410.0983887,416.4919048,409.641709,411.9251076,46876801
2020/10/19,417.8619385,417.8619385,411.9251022,413.751821,34470906
2020/10/20,411.9251709,417.4053284,411.9251709,416.035289,25205638
2020/10/21,413.7518921,416.4919708,411.9251729,414.2085719,28058921
2020/10/22,415.5785828,415.5785828,410.5551054,411.0117852,23438547
2020/10/23,412.838501,418.3186581,412.3818212,418.3186581,18777385
2020/10/26,411.0117798,415.5785773,411.0117798,415.5785773,15059581
2020/10/27,408.2717285,409.6417679,406.9016892,408.7284083,20117660
2020/10/28,405.5315857,408.271664,404.6182263,406.4449451,24710230
